Strain,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled,Strain_type
3X Crazy,0.71,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.4597687447848371,0.0572002007024586,,0.7790265930757649,0.316009059482656,0.657415884641794,,,0.72699702449073,1.0,0.50110627908751,,0.174611138986453,,,,,,,0.155544405418966,,,,1.0,0.779552588707434,,0.4960898756389721,,,1.0,,0.632018118965312,0.8472222222222225,0.010375816993464052,,indica
3rd Coast Panama Chunk,0.55,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,0.7857142857142858,,0.24,,,0.24,,,,0.892857142857143,,,,,,,1.0,,0.12,,,,1.0,,1.0,,,,,,0.892857142857143,,0.88888888888889,0.0007352941176470588,,hybrid
501st OG,0.7098819639681899,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411144578313253,,0.013550135501355,,0.8915989159891601,,,0.37700803212851397,,,1.0,,,0.013550135501355,0.6670113753877971,0.701137538779731,,0.7364457831325301,0.033875338753387496,,,,,,1.0,0.940020682523268,,0.6335341365461851,,,1.0,0.7425025853154089,,0.893203883495145,0.008415032679738562,0.673202614379085,indica
5th Element,0.5345493180541628,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.459962756052141,0.0523982265215639,,1.0,0.620732464307883,0.7732211170619742,,0.6899441340782121,,1.0,,,,,,,0.519739862280031,0.193873438129786,,0.24627166465135,0.5267023718439171,,,1.0,0.6899441340782121,,0.8964039785768939,,,0.7388149939540508,,,0.885,0.004084967320261436,0.673202614379085,hybrid
707 Headband,0.5,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.37772192972689206,0.09783570407677132,,0.34114884638943704,,0.703212073889465,0.575467157266475,0.3583483115685,,0.8375829104964291,,,,,,,0.6171824025842061,0.09273123255972232,,0.105492411352345,,,0.777935071338816,1.0,1.0,,0.82346963878876,,,1.0,,,0.8369565217391299,0.028676470588235293,0.607843137254902,hybrid
8 Ball Kush,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5330812854442339,0.00905797101449275,,0.036231884057971,,1.0,,,0.399468556244464,0.5330812854442339,,,,,,,0.4348981399468561,0.0181159420289855,,0.00905797101449275,0.412754650132861,,0.7618147448015119,0.9371124889282548,1.0,,,,,1.0,,0.5236294896030249,0.8537735849056598,0.00457516339869281,0.5915032679738563,indica
818 OG,0.7,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,0.966887417218543,,,0.6225165562913909,0.9719101123595508,0.327814569536424,,,0.514044943820225,,,,,,0.25,,,0.556179775280899,1.0,1.0,,0.3609271523178811,,,1.0,,1.0,0.9396551724137924,0.002369281045751634,0.607843137254902,indica
831 OG,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.5714285714285711,,,,,0.7272727272727271,,,1.0,,0.36363636363636404,,,,,,0.5714285714285711,,,1.0,,0.5714285714285711,1.0,1.0,,0.7272727272727271,,0.5714285714285711,1.0,,1.0,1.0,0.0005718954248366012,,indica
9 Pound Hammer,0.8,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.35173784621369497,,0.692056934574494,,0.440316114138806,,0.446598473278443,0.7916300490980941,0.895759437879355,,,0.115956457243906,,,,,0.263311165269115,,,0.31003122349710804,,0.685211587680394,1.0,1.0,,0.42173201035966,,,1.0,,0.8249276981555169,0.8862229102167176,0.052941176470588235,0.7058823529411765,indica
91 Krypt,0.83,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.666666666666667,,0.33333333333333304,0.666666666666667,0.8620689655172409,0.7931034482758621,,,1.0,,,,,0.5,,,,,,,0.7931034482758621,0.833333333333333,1.0,,,0.8620689655172409,,,1.0,,0.5,0.9583333333333326,0.0009803921568627449,,indica
A-10,0.9,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,0.068407960199005,,0.875621890547264,0.507260406582769,0.468523002421308,,,0.42312348668280897,,,,0.6455223880597011,0.6137463697967089,,,,,,0.0808457711442786,1.0,,,0.646489104116223,,,0.812953995157385,,1.0,1.0,0.50242013552759,0.7153920619554691,0.7131147540983599,0.013153594771241828,0.5751633986928105,indica
A-Dub,0.5,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.926744186046512,,1.0,0.437741012563752,,,0.870472535380187,,,0.0366279069767442,0.6541136963300551,,,0.727951237716134,0.0366279069767442,,,,,0.825137922763253,0.754820251275034,1.0,,0.774972011444209,,,1.0,0.6541136963300551,,0.8629032258064524,0.005065359477124182,0.8039215686274511,hybrid
A-Train,0.5,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913385826771654,,0.04330708661417319,0.4516129032258061,1.0,0.213823529411765,,,1.0,0.7797058823529409,,0.015748031496063,,,,,,,0.0354330708661417,,,0.7419354838709681,0.217058823529412,0.7096774193548392,,0.857352941176471,,,1.0,,0.483870967741936,0.7736486486486476,0.006290849673202614,0.5098039215686275,hybrid
ACDC,0.375,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.7450943670927821,0.6938920879970301,,0.3713771610107801,0.377394488140897,,0.769939535873432,,,,0.944006641630832,,,0.471792650316884,,0.40646643340074895,,0.6946670491042378,0.33594782386291,,0.23941828353781106,,,0.609666838735572,1.0,1.0,,,,,1.0,,,0.8777614138438874,0.05637254901960784,0.0196078431372549,hybrid
AK-47,0.4,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.13221885286751,,0.532361767848582,,0.9998979639386192,0.7069601219426981,,,1.0,,,0.132744625837651,,0.562486820480682,,0.7672276391359509,0.106155749015234,,,,,0.6654303874170749,1.0,0.6052390803835811,,0.819654167736092,,,1.0,,0.4859864795537711,0.7981843575418999,0.213562091503268,0.4444444444444445,hybrid
AK-48,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.0880041906757465,,0.8617077003666841,,1.0,0.658340971585701,,,0.9816700610997958,,,,0.4904276985743379,,,0.8906966086159491,0.0502881089575694,,0.0942902042954426,,,1.0,0.775893675527039,0.7189409368635441,,0.6478001833180571,,,1.0,,0.5148676171079429,0.7569444444444449,0.015604575163398691,0.0196078431372549,hybrid
AK-49,0.27,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,0.5,1.0,,,0.5,,,1.0,,1.0,,0.5,,,,,,0.5,,0.5,,,,,,0.5,,0.6,0.00040849673202614375,,sativa
Aberdeen,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.20454545454545495,1.0,0.923076923076923,,,0.923076923076923,,,,1.0,,1.0,1.0,1.0,,0.923076923076923,,,1.0,1.0,,,,,,,0.20454545454545495,1.0,,0.8571428571428574,0.0005718954248366012,0.477124183006536,hybrid
