Strain,Genetics,THC
Blue Spider,Sativa-dominant,18%
Blue Widow,Sativa-dominant (60%),17%
Blue Zkittlez,Indica-dominant (70%),20%
Blueberry,Indica-dominant (80%),19-20%
Blueberry Autoflowering,Indica-dominant (70%) autoflowering,14%
Blueberry Bud,Indica-dominant,Medium
Blueberry Cheese,Indica-dominant,18%
Blueberry Cheese Autoflowering,Indica-dominant autoflowering,17%
Blueberry Cheesecake,Indica-dominant,Medium
Blueberry Haze,Indica/sativa,Medium
Blueberry Headband,Indica-dominant (70%),19-23%
Blueberry OG,Indica-dominant (70%),High
Blueberry Punch,Indica-dominant,High
Blueberry Skunk,Indica-dominant (75%),Medium
Bona Dea CBD,Indica-dominant (85%),9%
Brainkiller Haze,Sativa (90-100%),22%
Brian Berry Cough,Indica/sativa (50/50),High
Brooklyn Mango,Indica/sativa,Medium
Brotherhood OG,Indica-dominant,Medium
Bruce Banner 3,Sativa-dominant (65%),20-27%
Bruce Banner BX 2.0,Sativa-dominant,25-30%
Bubba Cheese Autoflowering,Indica autoflowering,13-17%
Bubba Island Kush,Indica-dominant,Medium
Bubba Kush 2.0,Indica (90-100%),Medium
Bubba Kush Autoflowering,Indica-dominant autoflowering,17-21%
Bubba Kush CBD,Indica-dominant (70%),8%
Bubba Love,Indica (90-100%),Medium
Bubba OG,Indica (90-100%),19%
Bubba's Gift,Indica-dominant (80%),17-20%
Bubble Bomb,Indica/sativa (50/50),18-20%
Bubble Cheese,Indica-dominant,Medium
Bubble Gum,Sativa-dominant (60%),Medium
Bubble Kush,Indica-dominant (80%),19%
Bubble Kush Autoflowering,Indica-dominant (60%) autoflowering,16%
Bubble Yum,Indica/sativa (50/50),15-16%
Bubblegum Kush,Indica-dominant (80%),20-25%
Bubblegum XL,Sativa-dominant (60%),19%
BubbleGummer,Sativa-dominant,Medium
Bubblelicious,Sativa-dominant (60%),Medium
Bubblelicious Autoflowering,Indica/sativa autoflowering,Medium
Bubblicious,Indica-dominant (70%),16-20%
Buddha Haze,Sativa (90-100%),Medium
Buddha Kush OG,Indica (90-100%),High
Buddha Purple Kush,Indica-dominant autoflowering,Medium
Buddha Tahoe,Indica (90-100%),High
Buddha’s Sister,Indica-dominant (60%),Medium
Bullshark,Indica-dominant (70%),15%
Burmese Kush,Indica/sativa,Medium
Buzz Bomb,Sativa-dominant,15-20%
C. Banana,Sativa-dominant (60%),23-30%
C4 Autoflowering,Indica/sativa autoflowering,High
C99,Sativa-dominant,Medium
Caboose,Indica-dominant (70%),Medium
Cal-Train Wreck,Indica-dominant (60%),20-22%
Cali Orange Bud,Indica-dominant (70%),Medium
California Gold,Indica-dominant (80%),18-22%
California Hash Plant,Indica (90-100%),8-12%
California Indica,Indica-dominant (65%),Medium
California Orange Cheese,Indica-dominant (85%),Medium
Californian Orange,Indica/sativa (50/50),Medium
Californian Snow,Indica-dominant autoflowering,Medium
Canadian Kush,Indica (100%),High
Candida (CD-1),Sativa-dominant,0.50%
Candy Caramelo Autoflowering,Indica-dominant autoflowering,15%
Candy Kush,Indica-dominant autoflowering,High
Candy Kush Express - Fast Flowering,Indica-dominant (60%),18%
