,Strain,Rating,NumReviews,Strain_description,THC,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled
1558,Maramota #10,5,1,"Maramota #10 is a concoction of DJ Short Blueberry mixed with a cross of G13 and Hash Plant. This hybrid by Irie Vibe Seeds produces a multifaceted aroma of sweet berries and earthy hash that conjures memories of strawberry shortcake. A heavy yielder, Maramota #10 is a good way to stimulate the appetite or to help put you to sleep at the end of the day.",,0.62,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,1,,,,1,,,1,1,1,1,,,,,1,,,1,8.17E-05,
1559,Marcosus Marshmellow,4.083333333,12,"Marcosus Marshmellow is a Girl Scout Cookies phenotype grown by Remedy Cultivation. Named for its cloudy white trichomes and sticky buds, this strain stinks of sweet, minty terpenes with an enjoyable earthy undertone. Marcosus Marhmellow imbues consumers with a happy, relaxing buzz. The strain's pleasant euphoria can help improve mood, stimulate appetite, and assist with restlessness.",,0.48,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.333333333,,,,1,,1,,,0.484848485,0.484848485,1,,,,0.545454545,,,,,,0.117647059,1,0.941176471,,,0.941176471,,,,0.117647059,0.770833333,0.000980392,
1560,Margaret Cho-G,4.666666667,3,"Comedian Margaret Cho makes her move into the cannabis game with Margaret Cho-G, a cut of the famous OG Kush available in Bay Area, California. Sweet lemon, woody pine, and sour diesel flavors lead you into Margaret Cho-G's powerfully tranquilizing effects that any OG Kush enthusiast will appreciate. Pairing this strain with some stand-up is a surefire recipe for laughing fits, giving this hybrid even more reason to be dubbed “Margaret Cho-G.”",,0.39,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,0.333333333,,,,,,1,,,,,,1,0.5,,0.5,,,,1,1,1,,1,,,1,,,0.916666667,0.000245098,
1561,Marionberry Kush,4.458598726,158,"Like the fruit it is named for, Marionberry Kush is a delicious hybrid bred by Heroes of the Farm. A well-balanced cross of Raspberry Kush and Space Queen that puts off a full spectrum of fruity flavors, Marionberry Kush closely resembles her genetic “sister” Cinderella 99. There are six main phenotypes of Marionberry that all show a range of fruit flavors like passionfruit and raspberry. The aroma is smooth, sweet, and earthy with a sour twist. The effects are pronounced and uplift the mind almost immediately and then slowly relax the body without putting you to sleep.",23,0.6,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067378498,,0.460235641,0.48767809,0.676338809,,,,1,,,,,,,0.408470237,0.071428571,0.39300192,0.012150221,,,0.717366192,1,0.71986908,,0.466823128,,,1,,0.589141317,0.864649682,0.012908497,0.738562092
1562,Marionberry Pie,4,1,"From an anonymous breeder out of Arizona, Marionberry Pie, also known as Mited, comes from unknown parents. With a sweet, tart smell like marionberry jam, this hybrid leans toward a strong body high with exceptional euphoric qualities. Depending on the phenotype, buds can be either purple or green with orange hairs.",,0.44,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,0.5,,,0.5,1,,0.5,,,,1,1,0.75,8.17E-05,
1563,Marley's Collie,4.461538462,8,"Marley's Collie is an indica-dominant hybrid bred by Sensi Seeds that won the Dutch High Life Cup in 1999. These sticky, spiky buds offer a pungent sweet aroma with musky Afghan undertones, delivering effects that are strong in both physical and cerebral sensation. Indoor and outdoor grows can expect flowers between 60 and 65 days.",,0.63,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.915492958,,1,,,0.5,0.957746479,0.915492958,,,1,,,1,,,,,,,1,0.873239437,,0.5,1,,,,,,1,,0.5,0.865384615,0.000653595,
1564,Marmalade,4.166666667,12,"Originally bred for its medicinal effects, Marmalade by Solstice is a hybrid cross of Blueberry Cheesecake and Sour Tsunami. This strain offers sweet notes reminiscent of wildflower honey and fresh berries. Its effects are similar to DJ Short's Blueberry, expressing analgesic qualities alongside a heady, depression-zapping euphoria that can help you shrug off stress. Snap off this 1:1 CBD-rich cross to enjoy an intricate terpene profile coupled with relaxing physical effects.",,0.49,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.5,,1,0.6,,,0.6875,,0.6,1,,,,0.7,,,1,,,1,0.8,0.5625,,,,0.375,0.5,0.5,,0.791666667,0.000980392,
1565,Mars OG,4.379518072,168,"Mars OG is one spacey indica. Coming out of the California Bay Area, Mars OG has been given its planetary name in reference to its growing conditions. Planetary strains refer to strains which began indoors and were moved outdoors to complete the grow cycle in more natural conditions. The end result is a dense bud with a high flower-to-leaf ratio that produces a heavy-handed body buzz. With a hearty, thick taste and pungent smell, Mars OG will take away your pains and easily put you to sleep.",15.5,0.8,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.217039038,,0.480563058,0.712050711,0.693275844,,,0.645951891,1,,,,,,,0.641308522,0.196415419,,0.189540879,,,0.940285926,1,0.835322679,,0.829295116,,,1,,0.980173983,0.844879518,0.01372549,0.493464052
1566,Martian Candy,4.625,24,"Martian Candy (also known as Martian Candy OG) is a indica-dominant hybrid with an aroma that is out of this world. This strain smells rich with herbaceous notes and just a hint of eucalyptus. It leans heavily on the body, lowering the eyes immediately after the first puff. Its strong body buzz expands gradually, relaxing the limbs to the point of sedation with continued use. Martian Candy is ideal for patients suffering from stress, anxiety, PTSD, and nausea.",19,0.57,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.754237288,0.4,,0.95480226,,,,1,,,,,0.569230769,,1,,,,,,0.953846154,0.963276836,0.861538462,,0.991525424,,,1,,0.861538462,0.90625,0.001960784,0.607843137
1567,Martian Mean Green,4.211267606,76,"A combination of Sharksbreath and G13 Haze, Martian Mean Green (type C) is one of DNA Genetics' flagship strains. With its super pungent aroma and consciousness-altering effects, consumers might wonder if this herb came from outer space. Martian Mean Green is a sativa-dominant hybrid that can be helpful for relieving stress.",23,0.335,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.205882353,,0.06372549,0.8,,,,,0.836363636,,,,,,,0.785714286,0.024509804,0.81092437,0.019607843,0.974789916,,1,1,0.490909091,,0.777310924,,,1,,0.8,0.802816901,0.00620915,0.738562092
1568,Martian Muffins,4,2,"Martian Muffins by Jahnetics is a heavy indica with famous parents. Created by crossing GSC and Romulan, this glittering, multi-faceted bud offers strong bag appeal and even stronger effects. The strain's quick onset and deeply relaxing effects make it well-suited for consumers suffering from stress and anxiety. Be aware of this strain's strong sedating qualities, especially when enjoyed in large amounts.",,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,0.75,,0.857142857,1,0.857142857,,,,,,,,,0.75,,,,1,1,0.857142857,,0.875,,,,,1,0.75,0.000163399,
1569,Master Bubba,4.306930693,110,"Master Bubba is the perfect strain for those looking for true indica effects. Bred from Master Kush and Bubba Kush, it's popular for the treatment of pain, stress and insomnia thanks to the strong body sedation it provides. Master Bubba plants flower at 8 to 9 weeks with smaller, dense buds that can have a fruity, musky aroma. Kush earthiness is the main note in its smooth flavor. This strain can be very potent, making it best in the evening or as a nightcap.",7,0.5,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.457604307,,0.35483871,,0.838709677,,0.558546433,,0.451162791,0.987886945,1,,,,,,,,0.064516129,,0.096774194,,,0.139534884,1,0.986046512,,0.550471063,,,1,,0.937209302,0.826732673,0.008986928,0.215686275
1570,Master Jedi,4.351351351,74,"The secret of the Jedis may lie in this powerful plant. We can only assume that Master Jedi was created in the Galactic Republic, most likely as a cross between Master Kush and Jedi Kush. When growing, these younglings are bushy and generally high yielders. Once they flower at about 8 weeks, the buds will give off the distinctly musky aroma that kush strains are known for. These kush traits come through in the taste as well along with a lemony citrus aftertaste. The indica Force is strong with this one and it definitely promotes full body relaxation, so make sure you're ready to begin your training. Master Jedi may also be a Jedi 41 backcross.",20,0.5,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027906977,,0.08372093,,1,,,,1,,,0.013953488,0.779411765,,,0.551102204,0.020930233,,,0.879759519,,0.253676471,0.665330661,0.231617647,,0.599198397,,0.702205882,1,,,0.837837838,0.006045752,0.640522876
1571,Master Kush,4.353274559,1631,"Master Kush is a popular indica cross created out of two landrace strains from different parts of the Hindu Kush region. Master Kush is bred by the Dutch White Label Seed Company, located in Amsterdam. During maturation the plant produces a subtle earthy, citrus smell with a hint of incense, which is often described as a vintage flavor. The taste of Master Kush is reminiscent of the famous hard-rubbed charas hash. This strain holds a superb balance of full-body relaxation without the mind-numbing effect that many indica strains produce. Instead, Master Kush offers a sharpened sensory awareness that can bring out the best of any activity.",16.25,0.8,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20379727,,0.276872759,0.459279542,0.629783515,,,0.542906066,1,,,,,,,,0.185708098,,0.235568115,0.3679718,,0.689902143,1,0.65863834,,0.629624135,,,1,,0.560343458,0.83831864,0.133251634,0.517973856
1572,Master OG,4.376623377,77,"Master OG is an indica-dominant strain from Cabin Fever Seed Breeders. This offspring of Master Kush and Empress Kush produces large, dense buds that tend to bend branches under the weight. This colorful, pine-scented flower is an ideal match for those suffering pain, nausea, and lack of sleep.",,0.72,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.065246338,,0.395472703,,0.719889364,,,0.980638672,0.76298269,0.162433995,,,,0.850865513,,0.762886598,0.018641811,,0.037283622,,,,1,1,,,,,1,0.651131824,0.498002663,0.844155844,0.00629085,
1573,Master Skunk,4.5,21,"Master Skunk by Mr. Nice Seeds is an indica-dominant hybrid that crosses Master Kush with Skunk #1. With an aroma both sweet and earthy like its Master Kush parent, Master Skunk induces heavy relaxation throughout the mind and body. This strain is recommended for late-night consumption and for patients treating sharp or chronic pain. Master Skunk plants are resilient and mold-resistant with a flowering time of 7 to 9 weeks, making this hybrid a great choice for growers learning the horticultural ropes.",18,0.55,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,0.861111111,,0.166666667,,0.051813472,,0.909090909,0.626943005,0.590909091,,,0.055555556,,,,0.051813472,,,0.083333333,,,0.606060606,1,0.939393939,,0.212435233,,,1,,1,0.875,0.001715686,0.575163399
1574,Master Yoda,4.548192771,168,"With lab-tested THC levels that reach over 20%, strong medicine, Master Yoda is. This strain, however, is not about brute “Force,” as the original Master Yoda would know, and the sativa side of this mostly indica buzz has just enough of an uplifting balance to please just about anyone. Master Yoda clinched 1st Place at High Times Los Angeles Cannabis Cup in 2012, where the OG Kush and Master Kush cross was already a local favorite. Growers also like this strain for its hybrid resilience and its 8 week flowering time.",20,0.5,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.229923518,,0.36042065,0.847081524,0.76567774,,,0.553739563,1,,,0.050191205,,,,0.657843311,,,0.060229446,,,0.505547516,1,0.888567294,,0.754485699,,,1,,0.676796913,0.887048193,0.01372549,0.640522876
1575,Matanuska Thunder Fuck,4.351955307,182,"Since many marijuana strains hail from the tropics or specific breeding hubs, it's no surprise that this Alaskan hybrid's name celebrates its origins. Developed from strains grown in Matanuska Valley's grasslands, the flowers on these plants develop a frosting of icy white hairs that bring to mind its snowy homeland. Despite its rugged roots, these plants do best indoors but will still yield well in outdoor dry climates for the experienced grower. They will remain squat in size but tend to have very large leaves. This strain smells like hot chocolate with fruit, the latter of which can dominate the taste. Matanuska's effects tend to come on slowly and then give a strong body buzz. It also goes by the less colorful name Matanuska Tundra, especially outside of the United States.",,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,0.820288363,0.0799508,,0.183886839,,1,,,,1,0.433766486,0.388964313,,,0.745451425,0.341743907,,0.624231242,,0.332103321,,,,0.37344841,0.356162032,,0.965283165,,,1,,,0.837988827,0.014869281,
1576,Mataro Blue,4.518518519,27,"Mataro Blue by Kannabia Seeds is a rare three-way cross of Black Domina x Mazar I Sharif x Blue Monster. This strain is a stable, high yield producer on top of having flavorful, award-winning genetics. Its strong medicinal effects sedate and relax the consumer, helping to combat insomnia, chronic pain, and restlessness. Mataro Blue won 1st place rosin at the 2016 Lift Expo, Toronto, as well as 1st place medical indica at the 2012 Treating Yourself Expo, Toronto.",,0.86,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583333333,,0.25,,0.6875,,,0.375,0.9375,,,,,0.625,,0.4375,0.416666667,,0.25,,,0.875,1,1,,0.416666667,,,1,,1,0.87962963,0.002205882,
1577,Matsu,5,4,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,1,,0.6,,,0.4,0.75,0.6,,,0.5,,,,0.5,,,0.4,,,,1,,1,,,1,,0.75,1,0.000326797,
1578,Mau-Mau,4,1,"Mau-Mau is a hybrid from Irie Vibe Seeds that crosses an indica-dominant Blockhead female with a Killer Queen male. The strain was named as a tribute to a street artist from the UK with the same name, and after experiencing the buds himself, Mau-Mau decided to design the original packaging for the seeds. This hybrid is sturdy and easy to grow, finishing in 8 to 9 weeks.",15,0.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,1,0.5,1,,1,,,,1,1,,1,,,,,,,,,,0.5,,,1,,1,0.75,8.17E-05,0.477124183
1579,Maui,4.19379845,133,"A relative to Hawaiian sativa strains, Maui lives up to its tropical reputation. The musky overtones for this easy sativa are complemented by its fruity aftertaste and floral aroma. Less uplifting than other sativas, Maui tends to be head heavy and delivers a slow cerebral sensation that becomes more prominent over time. Maui effects tend to be medium-long in duration, lasting over 2 hours for many users.",20,0,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.187969925,,0.766917293,,0.737785016,,,,0.714285714,,,,,0.242236025,,0.760586319,0.105263158,,0.101503759,0.54723127,,0.664596273,1,0.322981366,,0.708469055,1,,1,,,0.798449612,0.010866013,0.640522876
1580,Maui Berry,4,5,,16,0.5,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.4,,,1,0.8,,,1,,,,0.5,0.25,,0.6,,,,0.6,,0.5,,1,,,,,,,,0.75,0.000408497,0.509803922
1581,Maui Bubble Gift,4.613636364,44,"Maui Bubble Gift is an indica-dominant hybrid strain whose known parent strains include Bubble Gum and a Maui Wowie/God's Gift hybrid. This strain's CBD content often outweighs its THC levels, making it a great match for consumers with pain, anxiety, and inflammation. With only mildly psychoactive effects, Maui Bubble Gift delivers its soothing relief alongside an earthy, floral aroma.",5,0.56,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.985915493,,0.2,1,1,0.044642857,,0.995305164,,,0.986607143,,,0.6,,,,0.079812207,0.2,,,,,0.946428571,0.126760563,1,,,,,0.6,0.044642857,,0.903409091,0.003594771,0.150326797
1582,Maui Citrus Punch,4.571428571,7,"Maui Citrus Punch is an exquisitely fruity strain that combines the best of Maui Dawg and Tangelo Kush. These parent strains come together to create a cross that is pleasurable to nearly all the senses, exhibiting bright citrus notes with funky skunky undertones. The flavor holds on to the citrus and slight earthiness that slowly morphs into a high energy euphoria which settles in the body. Consider enjoying Maui Citrus Punch outdoors, as the aroma alone will draw attention.",,0.18,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.333333333,1,0.75,0.5,,0.5,0.5,0.333333333,,1,,,,,,,1,,,,,,,1,0.333333333,,,,,1,,,0.892857143,0.000571895,
1583,Maui Haole,4.636363636,11,"Maui Haole is a balanced hybrid that combines the sweet, tropical flavors of Maui Wowie with Romulan's full-bodied relaxation. Bred by Pua Mana 1st Hawaiian Pakalōlō Seed Bank, Maui Haole takes powerful influence from the original Romulan Joe cut of Romulan. Its uplifting sativa influence stems from Maui Wowie genetics sourced from the Lower Nāhiku region of Hawaii. Haole is a Hawaiian term for a foreigner or someone that is not native to Hawaii, and Romulan is an alien race from the legendary sci-fi series Star Trek. Thus, the combination of the two leaves us with Maui Haole, or ""Hawaiian Alien.""",,0.6,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,0.965517241,1,0.137931034,1,,0.896551724,,,,,,,,,,,1,,0.75,0.75,0.965517241,,,1,,,0.909090909,0.000898693,
1584,Maui Mango Diesel,4.375,24,"Maui Mango Diesel is a sativa-dominant hybrid of Maui Wowie and Brooklyn Mango bred by Pua Mana 1st Hawaiian Pakalōlō Seed Bank. The Maui Waui father was sourced from Lower Nāhiku Maui, while the mother is Dr. Underground's Brooklyn Mango. Their combination results in a flavorful mix of sweet mango and tropical flavors that invigorate the senses and uplift your mood.",,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,0.048387097,,0.899141631,0.285407725,,,1,,,0.048387097,,0.985148515,,0.298283262,,0.740343348,1,,,0.992574257,,,,,,,0.241935484,0.153465347,0.02970297,0.84375,0.001960784,
1585,Maui Pineapple Chunk,4.75,8,"Maui Pineapple Chunk is a 50/50 hybrid bred by Pua Mana 1st Hawaiian Pakalōlō Seed Bank, who crossed Pineapple Chunk with their Nāhiku Maui Wowie to create this balanced Hawaiian strain. Sweet and sour tropical flavors reminiscent of this strain's homeland deliver you to a calm, uplifted mindset far away from stress.",,0.5,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.8,,,,1,0.666666667,,1,,0.8,,,,,0.866666667,,,,,,0.666666667,,0.666666667,,0.933333333,,,1,,0.333333333,0.9375,0.000653595,
1586,Maui Wowie,4.378144654,1310,"Maui Wowie (not Maui Waui) is a classic sativa whose tropical flavors and stress-relieving qualities will float you straight to the shores of Hawaii where this strain was originally born and raised. Since its beginnings in the island's volcanic soil, Maui Wowie has spread across the world to bless us with its sweet pineapple flavors and high-energy euphoria. Lightweight sativa effects allow your mind to drift away to creative escapes, while Maui Wowie's motivating, active effects may be all you need to get outside and enjoy the sun. This tall, lanky strain is best suited for cultivation in warm, tropical climates that mirror its homeland, but a bright environment and nutrient-rich soil are typically adequate for indoor growth.",,0.16,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.187276575,0.728462586,0.42177121,,1,0.600485663,,,1,,,0.376961371,,0.517353289,,0.824567607,,,0.380886776,,,0.879699651,,0.556971662,,0.802148342,,,1,0.336918088,,0.844536164,0.107026144,
1587,Mauna Kea White Fire OG,4.666666667,3,"Bred by Pua Mana 1st Hawaiian Pakalolo Seed Bank, Mauna Kea White Fire OG is a Hawaiian tribute to both Mauna Kea and White Fire OG. Named after the volcano on the big island, Mauna Kea translates to “white mountain,” which is appropriate as the strain is a cross of White Fire OG and Pele Fire OG. The buds are drenched in trichomes, making them almost appear white while the flavor is classic skunk with hints of lavender. The high is powerful and makes you feel like you're on top of Mauna Kea. However, a nap by the beach will also sound nice.",,0.47,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,1,0.5,,,1,,,,,,,1,1,,,,1,,,,,1,1,,1,0.916666667,0.000245098,
1588,Mazar I Sharif,4.41025641,125,"A legendary strain grown in the far north of Afghanistan.  In fertile and well-irrigated soils these vigorous giants are capable of reaching 4 metres in height or more, and will produce a similarly immense yield of intensely resinous flowers.  Over-indulgence produces a mind-warping, immobilising and narcotic effect. One of this strain's phenotypes has been described as producing ""very potent physical relaxation""; this is likely to be indicative of high CBD levels.",,0.77,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274853801,,0.438596491,,0.767790262,0.716292135,0.910739191,,0.966527197,,,,,,,0.703183521,0.035087719,,0.321637427,,,0.941422594,1,1,,0.802434457,,,1,,0.991631799,0.852564103,0.010212418,
1589,Mazar Kush,4.276923077,65,"Mazar Kush is an indica-dominant hybrid cross between Afghani and Mazar I Sharif, two age-old indica strains originating from the Afghanistan-Pakistan region. This strain delivers powerfully relaxing effects to both body and mind, making it a good choice for late night use or for after-work unwinding.",18,0.8,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00598444,,0.189706762,,,,0.05548926,0.871336314,0.941527446,0.781420765,,0.008976661,,,,,0.008976661,,,,0.745156483,0.105011933,1,1,,0.817685047,,,1,,0.938544153,0.819230769,0.005310458,0.575163399
1590,Mazar x Blueberry,4.356287425,1029,"Mazar x Blueberry is a well-rounded indica-dominant hybrid that helps patients knock out pain and relax into sleep after a long day. The sativa side of this strain allows for a nice head high as well, but it isn't overly hazy or unfocused. Mazar x Blueberry was created by Amsterdam's Dutch Passion Seeds to combine the sweet fruity aroma of Blueberry with the growing strengths of the hardy, high-yielding Mazar. Great for indoor growing, Mazar x Blueberry plants will stay shorter and bushy, flowering in 8 to 9 weeks. If you're looking for the California Mazar x Blueberry that has OG genetics, check out Mazar x Blueberry OG.",,0.6,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5278783,,0.929051265,0.358377678,0.439964112,,,0.467581003,1,,,0.452678756,,,,,,,0.434360527,0.427345285,,0.655178101,1,0.723475621,,0.569203752,,,1,,0.57323141,0.839071856,0.084068627,
1591,Mazari,4.333333333,3,"Mazari by Seedman is an indica-leaning mixture of potent and popular genetics. Created by crossing Mazar I Sharif and Skunk #1, Mazari delivers a pungent and flavorful terpene profile. It produces massive amounts of resin (thanks to its Afghani genetics) and an impressive aroma and yield. This strain finishes flowering in 8-9 weeks, and produces a hashish-forward bouquet and flavor. Enjoy Mazari for a potent and relaxing body high that rushes to the head and melts over the limbs.",,0.74,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,0.5,0.5,1,1,,,,,,,,,,0.5,,,,,1,,,,,,1,,,0.833333333,0.000245098,
1592,Mean Misty,4.166666667,3,"Mean Misty is a fruity hybrid with quality mental and physical effects. Brought to life through the genetic cross of Secret Recipe and Blue Dream, Mean Misty emanates a strong berry aroma with earthy elements that speak to its OG heritage. This strain sits firmly between physical and mental effects, gaining an effervescent head rush from the Sour Diesel (in Secret Recipe) and the Haze (in Blue Dream) while garnering the mid-level relaxation of Abusive OG (in Secret Recipe) and Blueberry (in Blue Dream). This strain has been known to push upwards of 20% THC, so mind your dosage and enjoy with care.",,0.51,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,1,0.5,,,,,,0.75,,0.5,,,,1,1,,,,,,,,1,0.791666667,0.000245098,
1593,MediHaze,4.544715447,123,"MediHaze (or CBD Medi Haze) is an 80/20 sativa-dominant strain bred by CBD Crew that crosses genetics from Super Silver Haze, Neville's Haze, and an undisclosed CBD-rich parent. Its THC to CBD ratio typically comes out 1:1, but some seeds will offer a doubled CBD content. THC and CBD's synergy provide relief to a variety of symptoms, some of which include pain, inflammation, and anxiety. Pine, mint, and spice aromas burst from MediHaze buds in a fragrant introduction to its clear-headed, uplifting effects.",,0.2,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.435776642,0.820995502,0.716025442,0.40410412,,,0.691711913,,,,1,,,0.055383183,,,,0.55701054,0.182438722,,0.036922122,,,0.39873851,1,0.640377469,,,,,1,,0.681351457,0.886178862,0.01004902,
1594,Medibud,4.53125,96,"Medibud (or Medi Bud) is an uplifting hybrid strain of unknown genetic origins, but many attribute its upbeat, active effects to sativa parentage. Others claim Medibud is a 60/40 indica-dominant cross, so it's possible that this strain expresses itself in various phenotypes. Typically, you can expect high-energy euphoria and heightened sensory awareness from Medibud, but its indica-leaning phenotypes may induce heavier, more relaxing effects.",,0.6,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.472222222,0.474576271,0.490322581,0.084745763,,0.632258065,,,,0.944444444,,,0.915254237,,,,0.632258065,,,0.449152542,,,0.888888889,1,1,,0.935483871,,,1,0.555555556,,0.8828125,0.007843137,
1595,Medical 49,4,2,"Medical 49 by Vision Seeds is a sedating, CBD-rich cross of potent genetics. Created by crossing Russian Snow, AK-49, and Skunk No.1, Medical 49 inherits AK-49's structure and coloration along with the pungent aromas of its more fragrant parents. This plant retains a short, squat structure that makes it ideal for low-profile growing. It has an approximate flowering time of 8-9 weeks. Enjoy Medical 49's 1:1 THC/CBD ratio for alleviating anxiety, inflammation, and pain.",8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.000163399,0.248366013
1596,Medicine Man,4.423728814,121,"Medicine Man delivers potent pain relief and high levels of THC and CBDs, making it a popular recommendation for many medical conditions from headaches and migraines to chronic pain management. Its heritage lies in Brazilian, Indian, and Afghani strains, though Medicine Man is sometimes mistaken to be its close family member, White Rhino. These plants require a little know-how to grow, but when done right they should produce large flowers in 8 to 10 weeks. Medicine Man is a nice strain to look at, with a range of greens and sometimes purples and yellow and red hairs throughout its dense buds. This medicine has a fruity aroma, with just a slight sour note that isn't quite strong enough to have you reaching for that spoonful of sugar.",12.5,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.685897436,0.133333333,,0.566666667,,0.148269923,,,0.086738688,0.392628205,,,0.2,0.831730769,,,0.141694066,,,0.333333333,,,0.168269231,1,1,,0.096602474,,,1,,,0.855932203,0.009885621,0.395424837
