,Strain,Rating,NumReviews,Strain_description,THC,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled
20,9 Pound Hammer,4.544891641,648,"9 Pound Hammer is an 80% indica strain created by JinxProof Gentics that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days.",22,0.8,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.351737846,,0.692056935,,0.440316114,,0.446598473,0.791630049,0.895759438,,,0.115956457,,,,,0.263311165,,,0.310031223,,0.685211588,1,1,,0.42173201,,,1,,0.824927698,0.88622291,0.052941176,0.705882353
21,91 Krypt,4.833333333,12,"91 Krypt by DNA Genetics is a potent strain by many names. Bred from the Chemdawg ‘91 stock crossed with DNA's famous Captain Krypt OG, this strain was created for high potency cannabis consumers. It emits a deep, dank terpene profile that fills the room with skunk and swampy earth. With a THC content pushing over 20% on average, enjoy 91 Krypt to stimulate appetite while harnessing full body relaxation.",,0.83,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.666666667,,0.333333333,0.666666667,0.862068966,0.793103448,,,1,,,,,0.5,,,,,,,0.793103448,0.833333333,1,,,0.862068966,,,1,,0.5,0.958333333,0.000980392,
22,999,4.5,2,"999 is a strain collaboration between Josh D (breeder of OG Kush) and the illustrious Karma Genetics. This potent mashup of Tahoe OG Kush, Triangle Kush, and Biker Kush hones in on the best attributes of Kush genetics while enhancing the overall complexity of flavor. 999 has a chunky OG structure and hits like a champ. When it comes to aroma, 999 blasts traditional, yet amplified, notes of pine, citrus, funky earth, and gas.",,0.78,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,0.5,,0.875,,0.75,,,0.5,0.777777778,,1,,,1,,,,0.5,0.875,,1,,,0.888888889,1,,0.777777778,0.5,1,,,,,0.875,0.000163399,
23,A-10,3.852459016,161,"A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain.",18,0.9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,0.06840796,,0.875621891,0.507260407,0.468523002,,,0.423123487,,,,0.645522388,0.61374637,,,,,,0.080845771,1,,,0.646489104,,,0.812953995,,1,1,0.502420136,0.715392062,0.713114754,0.013153595,0.575163399
24,A-Dub,4.451612903,62,"Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.",25,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.926744186,,1,0.437741013,,,0.870472535,,,0.036627907,0.654113696,,,0.727951238,0.036627907,,,,,0.825137923,0.754820251,1,,0.774972011,,,1,0.654113696,,0.862903226,0.005065359,0.803921569
25,A-Train,4.094594595,77,A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train.,16,0.5,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913385827,,0.043307087,0.451612903,1,0.213823529,,,1,0.779705882,,0.015748031,,,,,,,0.035433071,,,0.741935484,0.217058824,0.709677419,,0.857352941,,,1,,0.483870968,0.773648649,0.00629085,0.509803922
26,ACDC,4.511045655,690,"ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces little to no intoxicating effects. Tests have put ACDC's CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all with a clear head.",1,0.375,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.745094367,0.693892088,,0.371377161,0.377394488,,0.769939536,,,,0.944006642,,,0.47179265,,0.406466433,,0.694667049,0.335947824,,0.239418284,,,0.609666839,1,1,,,,,1,,,0.877761414,0.056372549,0.019607843
27,AK-47,4.19273743,2614,"Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47's scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. 
Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.",14,0.4,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,0.132218853,,0.532361768,,0.999897964,0.706960122,,,1,,,0.132744626,,0.56248682,,0.767227639,0.106155749,,,,,0.665430387,1,0.60523908,,0.819654168,,,1,,0.48598648,0.798184358,0.213562092,0.444444444
28,AK-48,4.027777778,191,"Although it is a hybrid, the AK-48 high leans more towards typical sativa effects. AK-48's lineage is a mixture of Colombian Gold x Thai x Mexican x Afghani.",1,0.5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,0.088004191,,0.8617077,,1,0.658340972,,,0.981670061,,,,0.490427699,,,0.890696609,0.050288109,,0.094290204,,,1,0.775893676,0.718940937,,0.647800183,,,1,,0.514867617,0.756944444,0.015604575,0.019607843
29,AK-49,3.4,5,"AK-49 by Vision Seeds is an AK-47 phenotype that aims for higher potency and more stimulating effects than its predecessor. This strain has been known to push well over 20% THC and can invigorate the most lethargic cannabis consumer. But beware, this strain's strong stimulation can be too much for some, so mind your dosage and enjoy AK-49 in an environment you feel comfortable in. It has an approximate 84-day flowering time and retains the pungent and woody aroma its forefather became famous for.",,0.27,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,0.5,1,,,0.5,,,1,,1,,0.5,,,,,,0.5,,0.5,,,,,,0.5,,0.6,0.000408497,
