Strain,Type,Pct,THC_max,THC_avg
Blue Persuasion,hybrid,50%,26.00%,24.00%
Blue Power,indica,70% Leaning,27.00%,21.00%
Blue Rhino,indica,55%,18.00%,14.00%
Blue Satellite,hybrid,50%,22.00%,19.00%
Blue Sky,indica,70% Leaning,19.00%,16.00%
Blue Thai,hybrid,50%,21.00%,18.00%
Blue Train,hybrid,50%,20.00%,18.00%
Blue Treat,indica,70% Leaning,22.00%,18.00%
Blue Velvet,hybrid,50%,20.00%,19.00%
Blue Venom,indica,70% Leaning,23.00%,18.00%
Blue Widow,indica,55%,17.00%,12.00%
Blue Wreck,hybrid,50%,24.00%,24.00%
Blue Zombie,indica,70% Leaning,21.00%,21.00%
Blueberry,indica,80% Leaning,23.50%,15.80%
Blueberry Blast,indica,70% Leaning,28.00%,15.00%
Blueberry Cheesecake,sativa,75% Leaning,20.00%,10.00%
Blueberry Diesel,indica,60% Leaning,23.00%,18.00%
Blueberry Dream,sativa,80% Leaning,26.00%,22.00%
Blueberry Haze,sativa,60% Leaning,23.00%,16.00%
Blueberry Headband,hybrid,50%,18.00%,14.00%
Blueberry Jack,hybrid,50%,20.00%,16.00%
Blueberry Kush,indica,100%,24.00%,17.00%
Blueberry Pie,hybrid,50%,20.00%,13.50%
Blueberry Skunk,indica,80% Leaning,22.00%,20.00%
Blueberry Yum Yum,sativa,60% Leaning,25.00%,21.00%
Blues,sativa,70% Leaning,16.00%,15.00%
Blurple,hybrid,50%,19.00%,14.00%
Bob Barker,indica,70% Leaning,22.00%,18.00%
BOG Bubble,hybrid,50%,19.00%,17.00%
Bogart,hybrid,50%,16.00%,16.00%
Bonkers,hybrid,50%,18.00%,15.00%
Bordello,indica,75% Leaning,20.00%,15.50%
Boss Hogg,indica,70% Leaning,20.00%,17.00%
Boy Scout Cookies,hybrid,50%,24.00%,22.00%
Boysenberry,hybrid,50%,21.00%,20.00%
Brains Damage,indica,80% Leaning,23.00%,22.00%
Brand X,indica,90%,28.00%,27.00%
Brian Berry Cough,hybrid,50%,20.00%,20.00%
Bruce Banner,sativa,60% Leaning,30.00%,20.00%
BSC,hybrid,50%,23.00%,20.00%
Bubba Kush,indica,80% Leaning,22.50%,14.50%
Bubba OG,indica,80% Leaning,27.00%,22.00%
Bubba's Gift,indica,80% Leaning,20.00%,17.00%
Bubbleberry,sativa,60% Leaning,21.00%,18.00%
Bubblegum,indica,60% Leaning,19.00%,15.50%
Bubblegum Kush,indica,80% Leaning,23.00%,19.00%
Bubblicious,indica,60% Leaning,25.00%,15.00%
Buddha Haze,ERROR,,26.00%,21.00%
Buffalo Bill,sativa,80% Leaning,28.00%,27.00%
Burmese Kush,hybrid,50%,18.00%,13.50%
Butter OG,indica,70% Leaning,24.00%,20.00%
Butterscotch,hybrid,50%,21.00%,18.00%
C13 Haze,sativa,90%,20.00%,17.00%
C3,indica,70% Leaning,23.00%,19.00%
C3PO,indica,60% Leaning,1.00%,1.00%
C4,indica,60% Leaning,22.00%,15.00%
Cabbage Patch,hybrid,50%,27.00%,22.00%
Cactus,sativa,80% Leaning,24.00%,19.00%
Cactus Cooler,sativa,70% Leaning,23.00%,17.00%
Cadillac Purple,hybrid,50%,27.00%,23.00%
Cali Gold,indica,80% Leaning,21.00%,18.00%
Cali Kush,indica,80% Leaning,15.00%,9.50%
California Grapefruit,indica,80% Leaning,15.00%,13.00%
California Orange,hybrid,50%,15.00%,10.00%
California Sour,hybrid,50%,20.00%,18.00%
Cambodian,sativa,100%,26.00%,21.00%
Candy Cane,indica,70% Leaning,20.00%,15.00%
Candy Jack,sativa,60% Leaning,27.00%,20.00%
Candyland,sativa,75% Leaning,19.00%,14.00%
Cannalope Haze,sativa,95%,20.00%,15.00%
