Strain,Type,Pct,THC_max,THC_avg
Presidential Kush,indica,60% Leaning,30.00%,20.00%
Presidential OG,indica,75% Leaning,26.00%,15.00%
Primus,indica,70% Leaning,30.00%,25.00%
Private Reserve,hybrid,50%,20.00%,19.00%
Professor Chaos,sativa,70% Leaning,25.00%,20.00%
Project Blue Book,hybrid,50%,22.00%,17.00%
Puna Budder,hybrid,50%,22.00%,21.00%
Pure Afghan,indica,100%,21.00%,16.00%
Pure Kush,indica,80% Leaning,24.00%,19.00%
Pure OG,indica,60% Leaning,20.00%,20.00%
Pure Power,sativa,70% Leaning,26.00%,19.00%
Purple Afghani,indica,75% Leaning,25.00%,20.00%
Purple Alien OG,indica,80% Leaning,17.00%,15.00%
Purple Arrow,indica,85% Leaning,24.00%,17.00%
Purple Aurora,indica,60% Leaning,20.00%,20.00%
Purple Berry,indica,80% Leaning,22.00%,15.00%
Purple Bud,indica,75% Leaning,20.00%,18.00%
Purple Bush,indica,70% Leaning,21.00%,21.00%
Purple Candy,hybrid,50%,19.00%,17.00%
Purple Champagne,sativa,70% Leaning,29.00%,21.00%
Purple Cheese,hybrid,50%,22.00%,18.00%
Purple Cow,sativa,70% Leaning,19.00%,17.00%
Purple Crack,sativa,85% Leaning,19.00%,17.00%
Purple Cream,hybrid,50%,24.00%,18.00%
Purple Diesel,sativa,70% Leaning,21.00%,16.00%
Purple Dragon,sativa,60% Leaning,20.00%,14.00%
Purple Dream,hybrid,50%,15.00%,14.00%
Purple Elephant,hybrid,50%,25.00%,16.00%
Purple Goat,sativa,70% Leaning,19.00%,17.00%
Purple Goo,hybrid,50%,21.00%,20.00%
Purple Gorilla,indica,60% Leaning,21.00%,18.00%
Purple Haze,sativa,60% Leaning,20.00%,13.00%
Purple Headband,indica,60% Leaning,28.00%,21.00%
Purple Jems,hybrid,50%,19.00%,14.00%
Purple Jolly Rancher,indica,75% Leaning,17.00%,10.00%
Purple Kush,indica,100%,27.00%,17.80%
Purple Lightning,indica,70% Leaning,15.00%,12.00%
Purple Maui,sativa,80% Leaning,22.00%,17.00%
Purple Mr. Nice,hybrid,50%,26.00%,20.00%
Purple Nepal,indica,60% Leaning,25.00%,19.00%
Purple Paralysis,sativa,80% Leaning,22.00%,20.00%
Purple Passion,indica,90%,18.00%,15.00%
Purple People Eater,indica,70% Leaning,23.00%,19.00%
Purple Power,sativa,75% Leaning,20.00%,15.00%
Purple Princess,indica,60% Leaning,16.50%,14.00%
Purple Rhino,indica,70% Leaning,20.00%,17.00%
Purple Sage,indica,60% Leaning,24.00%,20.00%
Purple Skunk,sativa,85% Leaning,20.00%,19.00%
Purple Sour Diesel,sativa,70% Leaning,21.00%,19.00%
Purple Star,indica,100%,13.00%,11.00%
Purple Suicide,indica,70% Leaning,19.00%,14.00%
Purple Thai,sativa,80% Leaning,24.00%,20.00%
Purple Tonic,indica,100%,23.00%,16.00%
Purple Trainwreck,hybrid,50%,26.00%,17.40%
Purple Urkle,indica,80% Leaning,26.00%,16.50%
Purple Voodoo,hybrid,50%,16.00%,11.00%
Purple Widow,indica,55%,22.00%,16.00%
Purple Wreck,indica,60% Leaning,31.00%,19.00%
PVC OG,hybrid,50%,20.00%,18.00%
Q3,hybrid,50%,24.00%,20.00%
Qleaner,sativa,70% Leaning,20.00%,15.00%
Quasar,hybrid,50%,15.00%,11.00%
Quebec Gold,hybrid,50%,26.00%,21.00%
Querkle,indica,80% Leaning,35.10%,18.00%
Queso,hybrid,50%,16.00%,13.00%
Quick One,indica,60% Leaning,13.00%,11.00%
Qush,indica,70% Leaning,18.00%,14.00%
Rafael,sativa,80% Leaning,2.00%,1.00%
Rainbow Kush,indica,60% Leaning,17.00%,14.50%
Randy Savage,indica,85% Leaning,22.00%,20.00%
Rare Darkness,indica,85% Leaning,25.70%,21.50%
Raspberry Cookies,indica,70% Leaning,26.40%,22.00%
Raspberry Cough ,sativa,70% Leaning,24.00%,20.00%
Raspberry Kush,indica,75% Leaning,17.00%,14.00%
Raw Diesel,hybrid,50%,19.00%,17.00%
Ray Charles,indica,100%,21.00%,18.00%
Rebel God Smoke,sativa,70% Leaning,28.00%,24.00%
Recon,indica,80% Leaning,23.00%,16.00%
Red Cherry Berry,hybrid,70% Leaning,22.00%,17.00%
Red Diesel,hybrid,50%,22.00%,19.00%
Red Dragon,sativa,60% Leaning,22.00%,16.00%
Red Dwarf,indica,60% Leaning,15.00%,11.00%
Red Eye OG,indica,100%,28.00%,23.00%
Red Haze,ERROR,,22.00%,21.00%
Red Headed Stranger,indica,75% Leaning,26.00%,20.00%
Red Poison,hybrid,50%,21.00%,17.00%
Red Widow,ERROR,,18.00%,16.00%
Redd Cross,ERROR,,20.00%,20.00%
Reggie,sativa,70% Leaning,20.00%,19.00%
Remedy,indica,75% Leaning,1.00%,0.90%
Rene,sativa,80% Leaning,18.00%,16.00%
Richie Rich,indica,70% Leaning,22.00%,18.00%
Ridge Berry,sativa,70% Leaning,16.00%,16.00%
Robert Plant,ERROR,,18.00%,16.00%
Rock Bud,indica,80% Leaning,16.00%,13.00%
Rocklock,indica,80% Leaning,16.00%,13.00%
RockStar,hybrid,50%,17.00%,14.00%
Rocky Mountain High,indica,65% Leaning,20.00%,18.00%
Rogue Thunder,hybrid,50%,15.00%,12.00%
Romping Goddess,hybrid,50%,23.00%,23.00%
Romulan,indica,75% Leaning,20.00%,16.00%
Root Beer Kush,sativa,100%,23.00%,19.00%
Rosetta Stone,hybrid,50%,20.00%,15.00%
Royal Cheese,indica,75% Leaning,16.00%,12.00%
Royal Dutch,hybrid,50%,21.00%,18.00%
Royal Dwarf,hybrid,60% Leaning,16.00%,15.00%
Royal Haze,sativa,85% Leaning,20.00%,18.00%
Royal Highness,sativa,60% Leaning,15.00%,14.00%
Royal Kush,indica,80% Leaning,25.00%,15.00%
Rubicon,hybrid,50%,9.00%,9.00%
Rug Burn OG,indica,80% Leaning,26.00%,16.00%
Rx,hybrid,50%,10.00%,5.00%
SAGE,sativa,80% Leaning,25.00%,20.00%
Sage N Sour,sativa,75% Leaning,18.70%,15.00%
Sand Storm,indica,95%,16.00%,13.00%
Santa Maria,sativa,65% Leaning,14.00%,13.00%
Sapphire Star,hybrid,50%,24.00%,22.00%
Satori,sativa,70% Leaning,28.00%,23.00%
Scott's OG,indica,70% Leaning,26.00%,24.00%
Seattle Blue,hybrid,50%,20.00%,20.00%
Seattle Cough,sativa,70% Leaning,22.00%,21.00%
Secret Recipe,sativa,60% Leaning,25.00%,23.00%
Selene,hybrid,50%,22.00%,17.00%
Sensi Star,indica,65% Leaning,20.00%,15.50%
Serious 6,hybrid,50%,17.00%,15.00%
Sexxpot,indica,100%,15.00%,15.00%
SFV OG Kush,indica,90%,19.00%,13.00%
Shaman,sativa,85% Leaning,18.00%,15.00%
Shark Shock,indica,80% Leaning,20.00%,14.00%
Shark's Breath,indica,80% Leaning,26.00%,21.00%
Shishkaberry,indica,80% Leaning,26.00%,18.00%
Shooting Star,indica,85% Leaning,19.00%,14.00%
Shoreline,sativa,60% Leaning,23.00%,20.00%
Silver Bubble,ERROR,,20.00%,18.00%
Silver Haze,hybrid,50%,14.00%,11.00%
Silver Kush,sativa,70% Leaning,24.00%,22.00%
Silver Pearl,sativa,80% Leaning,21.00%,16.00%
Silver Surfer,hybrid,50%,26.00%,17.00%
Sirius Black,indica,70% Leaning,25.00%,20.00%
Skittle,sativa,60% Leaning,23.00%,19.00%
Skunk #1,indica,65% Leaning,22.10%,9.00%
Skunk 47,indica,90%,27.00%,22.00%
Skunk Haze,sativa,70% Leaning,9.00%,5.00%
Skunkberry,hybrid,50%,40.00%,15.00%
Skywalker,hybrid,50%,15.00%,13.00%
Skywalker OG,indica,85% Leaning,26.00%,24.00%
Sleestack,sativa,70% Leaning,25.00%,20.00%
Snoop Dogg OG,indica,13%,28.00%,25.00%
Snoop's Dream,hybrid,50%,25.00%,18.00%
Snow Lotus,indica,70% Leaning,25.00%,17.00%
Snow Ryder,indica,75% Leaning,23.00%,14.00%
Snowcap,hybrid,50%,22.00%,15.00%
Somango,indica,75% Leaning,23.00%,18.00%
Sonoma Coma,sativa,70% Leaning,25.00%,17.00%
Sour Alien,sativa,60% Leaning,16.00%,13.00%
Sour Apple,indica,80% Leaning,27.00%,22.00%
Sour Bubba,sativa,60% Leaning,31.00%,19.00%
Sour Bubble,indica,100%,28.00%,27.00%
Sour Candy,sativa,80% Leaning,16.00%,15.00%
Sour Cookies,sativa,70% Leaning,28.00%,17.00%
Sour Cream,sativa,80% Leaning,17.00%,17.00%
Sour Dream,sativa,70% Leaning,21.00%,17.00%
Sour Grape,hybrid,50%,24.00%,14.00%
Sour Haze,sativa,90%,26.00%,19.00%
Sour Headband,sativa,75% Leaning,25.00%,20.00%
Sour Jack,hybrid,50%,22.00%,19.00%
Sour Kush,indica,60% Leaning,26.00%,21.00%
Sour Maui,sativa,100%,27.00%,23.00%
Sour Moonrocks,sativa,80% Leaning,59.00%,59.00%
Sour OG,hybrid,50%,27.00%,20.00%
Sour Patch Kiss,sativa,60% Leaning,31.00%,27.00%
Sour Power,sativa,90%,29.00%,24.00%
Sour Sunset,indica,60% Leaning,24.00%,22.00%
Sour Tsunami,sativa,60% Leaning,10.00%,8.00%
Southern Lights,sativa,14%,25.00%,21.00%
Space Bomb,sativa,60% Leaning,17.00%,15.00%
Space Candy,hybrid,50%,22.00%,20.00%
Space Cream,indica,70% Leaning,24.00%,24.00%
Space Dawg,indica,70% Leaning,23.00%,20.00%
Space Monster,indica,75% Leaning,20.00%,20.00%
Space Needle,sativa,100%,20.00%,18.00%
Space Queen,sativa,55%,16.00%,13.50%
Special K,hybrid,50%,24.00%,24.00%
Spirit of 76,hybrid,50%,12.00%,10.00%
Spliffs Strawberry,sativa,80% Leaning,22.00%,18.00%
Sputnik,sativa,70% Leaning,23.00%,18.00%
Star 47,indica,90%,20.00%,18.00%
Star Berry,indica,90%,20.00%,18.00%
Star Tonic,hybrid,50%,11.00%,9.00%
Starbud,indica,75% Leaning,20.00%,14.00%
Starfighter,indica,60% Leaning,25.60%,20.20%
Starry Night,hybrid,50%,25.00%,19.00%
StarRyder,indica,70% Leaning,19.00%,15.00%
Stella Blue,sativa,70% Leaning,18.00%,15.00%
Stephen Hawking Kush,indica,70% Leaning,12.00%,5.00%
Stevie Wonder,sativa,90%,24.00%,20.00%
Strawberry,hybrid,50%,18.00%,15.00%
Strawberry Banana,indica,70% Leaning,32.60%,20.00%
Strawberry Blue,sativa,75% Leaning,20.00%,20.00%
Strawberry Cheesecake,indica,70% Leaning,22.00%,20.00%
Strawberry Cough,sativa,85% Leaning,23.00%,15.00%
Strawberry Diesel,hybrid,50%,27.00%,18.00%
Strawberry Dream,hybrid,50%,21.00%,16.00%
Strawberry Ice,sativa,60% Leaning,21.00%,20.00%
Strawberry Kush,sativa,70% Leaning,23.00%,18.00%
Strawberry Lemonade,hybrid,50%,28.00%,21.00%
Strawberry Mango Haze,sativa,70% Leaning,23.00%,17.00%
Strawberry Milkshake,hybrid,50%,20.00%,18.00%
Strawberry OG,sativa,70% Leaning,23.00%,20.00%
Sublime,sativa,70% Leaning,26.00%,20.00%
Sugar Black Rose,indica,80% Leaning,18.00%,18.00%
Sugar Cookie,hybrid,50%,25.00%,24.00%
Sugar Klingon,hybrid,50%,17.00%,14.00%
Sugar Kush,indica,100%,20.00%,20.00%
Sugar Mama,hybrid,50%,19.00%,19.00%
Sugar Plum,sativa,90%,26.00%,19.00%
Sugar Punch,hybrid,50%,24.00%,23.00%
Sunburn,sativa,80% Leaning,24.00%,17.00%
Sunset Haze,hybrid,50%,17.00%,17.00%
Sunset Sherbet,indica,85% Leaning,24.00%,18.00%
Sunshine,sativa,70% Leaning,27.00%,18.00%
Sunshine Daydream,indica,60% Leaning,25.00%,17.00%
Super Blue Dream,hybrid,50%,21.00%,19.00%
Super Bud ,indica,60% Leaning,19.00%,19.00%
Super Cheese,indica,80% Leaning,25.00%,20.00%
Super Critical,indica,75% Leaning,18.00%,13.50%
Super Glue,indica,60% Leaning,28.00%,23.00%
Super Jack,sativa,70% Leaning,24.00%,19.00%
Super Kush,hybrid,50%,22.00%,18.00%
Super Lemon Haze,sativa,80% Leaning,25.00%,16.00%
Super Lemon OG,indica,60% Leaning,22.00%,19.00%
Super Silver Haze,sativa,80% Leaning,23.00%,16.00%
Super Skunk,indica,65% Leaning,28.00%,19.00%
Super Sour Diesel,sativa,85% Leaning,25.50%,19.00%
Super Sour Skunk,hybrid,50%,15.00%,15.00%
Super Sour Widow,hybrid,50%,18.00%,16.00%
Super Sweet,hybrid,50%,14.00%,14.00%
Supergirl,indica,80% Leaning,23.00%,15.00%
Superman OG,indica,60% Leaning,18.00%,16.00%
Supernatural,sativa,60% Leaning,22.00%,22.00%
Supernova,indica,75% Leaning,25.00%,20.00%
Suzy Q,hybrid,50%,,
Sweet Berry,hybrid,50%,21.00%,18.00%
Sweet Black Angel,indica,80% Leaning,18.00%,17.00%
Sweet Cheese,sativa,70% Leaning,21.00%,20.00%
Sweet Deep Grapefruit,indica,80% Leaning,19.00%,15.00%
Sweet Diesel,sativa,100%,18.00%,15.00%
Sweet Dream,sativa,60% Leaning,23.00%,19.00%
Sweet Dreams,hybrid,50%,24.00%,15.00%
Sweet Jane,indica,70% Leaning,20.00%,20.00%
Sweet Kush,hybrid,50%,18.00%,18.00%
Sweet Lafayette,indica,80% Leaning,18.00%,17.00%
Sweet Nina,hybrid,50%,20.00%,20.00%
Sweet Pebbles,hybrid,50%,20.00%,18.00%
Sweet Tooth,indica,85% Leaning,19.00%,14.00%
Swiss,indica,100%,,
Swiss Bliss,sativa,75% Leaning,23.00%,23.00%
Swiss Gold,indica,60% Leaning,7.00%,6.00%
Syrup OG,indica,70% Leaning,30.00%,26.00%
Tahoe Alien,indica,60% Leaning,29.00%,21.00%
Tahoe OG,hybrid,50%,20.50%,14.60%
Taiga,hybrid,50%,15.00%,11.00%
Tangerine,hybrid,50%,18.00%,18.00%
Tangerine Dream,sativa,60% Leaning,25.00%,19.00%
Tangerine Haze,sativa,60% Leaning,21.00%,18.00%
Tangerine Kush,indica,70% Leaning,20.00%,18.00%
Tangerine Man,sativa,70% Leaning,18.40%,18.00%
Tangerine Power,sativa,70% Leaning,25.00%,20.00%
Tangie,sativa,70% Leaning,22.00%,19.00%
Tesla,sativa,70% Leaning,3.00%,2.00%
Tesla Tower,sativa,70% Leaning,22.00%,17.00%
Thai,sativa,100%,22.00%,12.00%
Thai Girl,sativa,70% Leaning,25.00%,20.00%
Thai Haze,hybrid,50%,21.00%,18.00%
Thai Sticks,sativa,100%,18.00%,16.00%
Thai Tanic,sativa,85% Leaning,15.00%,14.00%
THC Bomb,hybrid,50%,26.00%,24.00%
The Black,indica,90%,18.00%,14.00%
The Blood,sativa,100%,26.00%,20.00%
The Cough,sativa,70% Leaning,22.00%,19.00%
The Doctor,indica,80% Leaning,23.00%,19.00%
The Flav,indica,60% Leaning,24.00%,19.00%
The One,hybrid,50%,17.00%,16.00%
The Ooze,indica,80% Leaning,24.00%,19.00%
The Ox,indica,75% Leaning,20.00%,19.00%
The Sauce,sativa,60% Leaning,28.00%,19.00%
The Sheriff,hybrid,50%,19.00%,18.00%
The Truth,sativa,70% Leaning,22.00%,21.00%
The Void,hybrid,50%,16.00%,14.50%
The White,sativa,60% Leaning,30.00%,22.00%
Thin Mint Cookies,hybrid,50%,24.00%,16.00%
Think Different,sativa,60% Leaning,18.00%,16.00%
Thor's Hammer,sativa,60% Leaning,29.00%,25.00%
Tiger Woods,hybrid,50%,15.00%,13.00%
Tiger's Milk,hybrid,50%,17.00%,15.50%
Timewarp,sativa,70% Leaning,14.00%,10.00%
Timewreck,sativa,70% Leaning,24.00%,19.00%
Titanium,hybrid,50%,22.00%,13.00%
Tokyo OG,indica,80% Leaning,24.00%,22.00%
Tommy’s Home Grown,hybrid,50%,19.00%,18.00%
Top 44,indica,70% Leaning,20.00%,14.00%
Tora Bora,indica,100%,22.00%,17.00%
Toxic Punch,hybrid,50%,25.00%,22.00%
Trainwreck,sativa,90%,18.00%,14.00%
Transformer,hybrid,50%,22.00%,19.00%
Trash,indica,70% Leaning,19.00%,18.00%
Travel Joint,indica,60% Leaning,24.00%,23.00%
Tree of Life,sativa,70% Leaning,22.00%,18.00%
Tres Dawg,hybrid,50%,25.00%,20.00%
Triangle Kush,indica,85% Leaning,26.00%,21.00%
Trident,hybrid,50%,6.00%,5.00%
Trinity,sativa,75% Leaning,20.00%,15.00%
Triple Diesel,hybrid,50%,22.00%,19.00%
Trix,sativa,100%,20.00%,20.00%
Trojan,indica,60% Leaning,19.00%,14.00%
Tropical Tang,sativa,90%,22.00%,18.00%
True OG,hybrid,50%,24.00%,21.00%
Trump OG,indica,70% Leaning,20.00%,20.00%
Truth Serum,hybrid,50%,22.00%,19.00%
Tundra,indica,70% Leaning,15.00%,12.00%
Tutti Frutti,hybrid,50%,23.00%,19.00%
Twilight,indica,100%,21.00%,17.00%
Twista,hybrid,50%,22.00%,19.00%
Twisted Citrus ,hybrid,50%,27.00%,24.00%
Tyson,indica,100%,21.00%,18.00%
U Pink Kush,indica,90%,18.00%,14.00%
U.K. Cheese,hybrid,50%,18.00%,14.00%
UBC Chemo,indica,100%,29.00%,20.00%
Ultra Sonja,sativa,60% Leaning,22.00%,19.00%
Ultraviolet,sativa,60% Leaning,21.00%,17.00%
Urban Poison,sativa,60% Leaning,25.00%,21.00%
UW,indica,80% Leaning,20.00%,14.00%
Valentine X,hybrid,50%,1.00%,1.00%
Valley Girl,hybrid,50%,31.00%,22.00%
Vanilla Kush,indica,70% Leaning,22.00%,15.00%
Vaniluna,hybrid,50%,17.00%,15.00%
Velvet Bud,sativa,70% Leaning,23.00%,20.00%
Venice OG,sativa,90%,26.00%,20.00%
Venom OG,hybrid,50%,27.00%,20.00%
Venomberry,sativa,60% Leaning,16.00%,14.00%
Venus OG,hybrid,50%,25.00%,18.00%
Verde Electric,hybrid,50%,24.00%,19.00%
Very Berry Haze,sativa,100%,18.00%,15.00%
Violator Kush,indica,80% Leaning,22.00%,19.00%
Violet Delight,hybrid,50%,27.00%,22.00%
Viper,sativa,90%,20.00%,17.00%
Voodoo,sativa,100%,12.00%,10.00%
Vortex,sativa,75% Leaning,20.00%,16.00%
Waldo,sativa,75% Leaning,19.00%,17.00%
Walker Kush,indica,70% Leaning,20.00%,18.00%
Wally OG,hybrid,50%,25.00%,25.00%
Walter White,sativa,70% Leaning,21.00%,19.00%
Wappa,indica,60% Leaning,22.00%,17.00%
Warlock,indica,85% Leaning,19.00%,14.00%
Watermelon,indica,80% Leaning,22.00%,18.00%
Webster,sativa,70% Leaning,23.00%,19.00%
Wedding Cake,indica,60% Leaning,25.00%,16.00%
West Coast Diesel,sativa,95%,26.00%,22.00%
West OG,indica,13%,22.00%,18.00%
Wet Dream,sativa,90%,22.00%,16.00%
Whitaker Blues,indica,80% Leaning,28.00%,21.00%
White Berry,indica,65% Leaning,22.00%,18.00%
White Buffalo,sativa,70% Leaning,25.00%,17.50%
White Castle,indica,60% Leaning,19.00%,13.00%
White Cheese,hybrid,50%,16.00%,14.00%
White Cookies,indica,70% Leaning,20.00%,18.00%
White Dawg,hybrid,50%,20.00%,20.00%
White Diesel,indica,60% Leaning,22.00%,22.00%
White Dragon,indica,100%,22.00%,22.00%
White Dream,hybrid,50%,24.00%,22.00%
White Durban,ERROR,,19.00%,17.00%
White Dwarf,indica,75% Leaning,15.00%,13.00%
White Elephant,hybrid,50%,23.00%,18.00%
White Empress,indica,85% Leaning,25.00%,22.00%
White Fire 43,indica,70% Leaning,30.00%,25.00%
White Fire Alien OG,indica,60% Leaning,26.00%,24.00%
White Fire OG,indica,60% Leaning,25.00%,22.00%
White Girl,sativa,60% Leaning,30.00%,20.00%
White Gold,indica,60% Leaning,25.00%,25.00%
White Gorilla,indica,55%,25.00%,24.00%
White Haze,sativa,70% Leaning,19.00%,17.00%
White Knight,indica,100%,26.00%,26.00%
White Kush,indica,100%,29.00%,19.00%
White Lavender,hybrid,50%,19.00%,19.00%
White Lightening ,hybrid,50%,24.00%,24.00%
White Lotus,hybrid,50%,22.00%,20.00%
White Moonshine,indica,75% Leaning,19.00%,15.00%
White Nightmare,sativa,80% Leaning,22.00%,17.50%
White OG,hybrid,50%,24.00%,24.00%
White Queen,indica,65% Leaning,25.00%,23.00%
White Rhino,indica,80% Leaning,22.00%,18.00%
White Russian,hybrid,50%,22.00%,16.50%
White Ryder,indica,70% Leaning,24.00%,22.00%
White Sangria,indica,70% Leaning,20.00%,16.00%
White Siberian,indica,75% Leaning,15.00%,15.00%
White Skunk,indica,65% Leaning,22.00%,20.00%
White Slipper,sativa,70% Leaning,,
White Smurf,hybrid,50%,22.00%,20.00%
White Strawberry,hybrid,50%,18.00%,15.00%
White Walker Kush,indica,60% Leaning,22.00%,20.00%
White Walker OG,hybrid,50%,22.00%,22.00%
White Walrus,hybrid,50%,18.00%,15.00%
White Widow,sativa,60% Leaning,20.00%,12.00%
White Zombie,indica,60% Leaning,19.00%,17.00%
Whiteout,hybrid,50%,19.00%,19.00%
William's Wonder,indica,75% Leaning,21.20%,14.50%
Willie Cheesie ,hybrid,100%,19.60%,19.00%
Willie Nelson,sativa,60% Leaning,22.00%,20.00%
Willy Wonka,sativa,70% Leaning,28.00%,23.00%
Wonder Haze,sativa,70% Leaning,22.00%,18.00%
Wonder Woman,sativa,60% Leaning,20.00%,15.00%
Woody Kush,indica,100%,23.00%,19.00%
Wreckage,hybrid,50%,21.00%,18.00%
WSU,indica,100%,24.00%,23.00%
X Wing,indica,70% Leaning,26.00%,25.00%
X-Kush #1,indica,65% Leaning,21.00%,16.00%
Xanadu,sativa,75% Leaning,18.00%,14.00%
XJ-13,hybrid,50%,23.80%,16.00%
XXX OG,indica,60% Leaning,21.00%,14.00%
Y Griega,sativa,75% Leaning,27.00%,17.00%
Yeti OG,indica,70% Leaning,20.00%,19.00%
Yoda OG,indica,80% Leaning,22.00%,14.00%
Yogi Diesel,sativa,90%,25.00%,21.00%
Yumboldt,indica,75% Leaning,20.00%,14.00%
Yummy,indica,70% Leaning,3.00%,3.00%
Zen,hybrid,50%,11.00%,11.00%
Zero Gravity,indica,60% Leaning,18.00%,13.00%
Zeta Sage,hybrid,50%,28.00%,24.00%
Zeus OG,sativa,60% Leaning,23.00%,17.00%
Zombie OG,indica,90%,21.00%,18.00%
Zoom Pie,indica,70% Leaning,24.00%,22.00%
